x to 1.JPG,y to 1.JPG

2.83496,1512.82,
5.40752,2493.24,
7.29497,1543.34,
20.8502,1581.08,
21.5774,1145.06,
24.5414,1076.38,
44.3152,1044.1,
49.1567,1063.77,
53.0485,1549.9,
80.1674,1553.05,
80.2012,2484.23,
87.8837,1484.9,
90.1353,2468.52,
93.2121,1589.18,
103.925,2524.6,
109.54,1585.28,
122.038,1775.32,
131.537,2522.05,
136.296,1061.64,
138.691,2178.62,
139.363,1595.73,
159.595,1173.51,
160.585,1596.46,
161.093,1067.36,
162.634,2454.01,
171.327,1554.71,
174.131,1248.7,
174.764,1469.71,
176.431,1638.36,
176.454,1484.9,
181.092,1426.1,
182.383,1592.85,
182.404,1585.73,
182.547,2907.83,
182.683,1481.87,
185.415,2522.82,
187.312,1596.7,
195.656,1595.15,
195.771,1300.24,
202.537,1417.28,
225.212,1561.15,
226.326,1568.07,
230.153,1568.75,
234.62,1465.81,
242.364,1397.82,
253.939,1465.66,
260.349,1765.06,
277.46,1379.03,
280.791,1366.14,
283.98,1330.4,
288.114,1547.49,
288.308,1497.5,
297.06,1586.31,
307.69,1546.3,
312.673,1777.06,
313.129,1268.61,
314.677,1271.53,
322.016,2934.44,
322.62,1268.48,
323.778,1249.97,
328.098,1067.88,
332.268,1724.22,
332.682,1153.32,
335.415,1535.84,
339.726,1275.7,
339.908,1553.04,
341.074,2376.92,
341.076,1426.65,
344.683,1354.85,
347.117,1677.94,
348.679,1594.46,
352.218,1199.61,
354.894,1481.36,
355.975,1234.67,
356.344,1681.66,
358.844,2362.67,
368.659,1717.37,
374.914,1073.15,
375.72,1451.17,
375.72,1451.17,
381.122,1340.23,
384.679,2975.31,
388.313,1416.32,
389.974,1314.56,
408.918,2604.16,
411.654,1408.99,
413.858,1509.38,
416.163,1315.17,
429.131,1340.35,
431.986,2988.56,
433.273,1979.54,
433.932,1591.55,
437.171,1631.29,
438.811,1332.31,
443.372,2819.22,
448.33,1323.64,
453.026,1250.58,
453.494,1565.92,
456.768,1602.66,
460.994,1360.7,
467.549,2582.7,
468.132,1071.69,
471.248,1242.47,
478.321,1073.93,
482.768,1072.8,
484.191,1569.38,
488.433,1562.9,
490.077,2618.54,
490.598,1237.13,
492.608,2496.85,
497.513,1526.65,
504.302,1137.4,
507.655,1232.98,
508.865,1654.46,
509.256,1307.07,
511.424,1362,
513.704,1358.01,
515.923,2974.44,
525.986,2945.99,
528.31,1605.42,
528.417,1450.7,
528.671,2944.13,
536.075,1458.91,
541.716,2940.57,
